#,Category,Disease,Key Symptoms,Primary Medicine(s),Frequency per Day,Time,Duration (Days),Precautions / Notes
87,Autoimmune & Rheumatologic Diseases,Vasculitis,"Fever, weight loss, organ-specific features (rash, hematuria, sinusitis, mononeuritis multiplex)","Prednisolone 1mg/kg/day + Cyclophosphamide (severe, induction)",1x/day / Pulsed IV monthly,8:00 AM (Morning),Induction: 3–6 months then maintenance,Monitor ANCA; renal function; infection screening before immunosuppression; BP control
88,Autoimmune & Rheumatologic Diseases,Dermatomyositis,"Proximal muscle weakness, heliotrope rash, Gottron's papules, dysphagia",Prednisolone 1mg/kg/day + Methotrexate 10–20mg (steroid-sparing),1x/day / Weekly,8:00 AM (Morning),Long-term (taper slowly),"Malignancy screening; physiotherapy; sun protection; monitor muscle enzymes (CK, LDH)"
89,Autoimmune & Rheumatologic Diseases,Scleroderma,"Raynaud's, skin thickening, dysphagia, ILD, pulmonary hypertension, renal crisis",Nifedipine 10–30mg (Raynaud's) + Methotrexate (skin) + Omeprazole (GERD),3x/day / Weekly / 1x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Long-term,Hand warmers for Raynaud's; monitor BP (renal crisis); physiotherapy; esophageal dilation
90,Autoimmune & Rheumatologic Diseases,Polymyalgia Rheumatica,"Bilateral shoulder/hip girdle pain and stiffness (>45 min morning stiffness), elderly patients",Prednisolone 15mg (initial) – slow taper,1x/day,8:00 AM (Morning),12–24 months (slow taper),Calcium + Vitamin D supplementation; bone protection; monitor ESR/CRP; screen for GCA
91,Other Common Conditions,Acne Vulgaris,"Comedones (blackheads/whiteheads), papules, pustules, nodules, scarring",Benzoyl peroxide 5% gel (mild) OR Adapalene 0.1% (retinoid) + Clindamycin 1% gel,1–2x/day (topical),8:00 AM (Morning),8–12 weeks (then maintenance),Avoid picking/squeezing; gentle non-comedogenic skincare; sunscreen with topical retinoids
92,Other Common Conditions,Eczema (Atopic Dermatitis),"Intensely itchy, dry, inflamed skin; eczematous patches; worse with triggers",Emollient (multiple daily) + Hydrocortisone 1% (flare) OR Tacrolimus 0.1% (sensitive areas),At least 2–3x/day (emollient) / 1–2x/day (steroid during flare),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night) (primary medicine); see notes for others",Long-term (emollient) / Short-term (steroid),"Avoid triggers (soaps, dust mites, stress); wet wrap therapy; antihistamine for itch at night"
93,Other Common Conditions,Glaucoma,"Often asymptomatic (open angle); acute angle closure: severe eye pain, headache, halos, nausea",Timolol 0.5% eye drops + Latanoprost 0.005% eye drops,2x/day (Timolol) + 1x/day at night (Latanoprost),8:00 AM (Morning) & 9:00 PM (Night),Lifelong,Regular eye pressure monitoring; compliance critical (no symptoms = still taking drops); driving check
94,Other Common Conditions,BPH,"Weak urinary stream, hesitancy, frequency, nocturia, incomplete bladder emptying",Tamsulosin 0.4mg (alpha-blocker) OR Finasteride 5mg (5-ARI for large gland),1x/day (30 min after same meal),"8:30 AM (Morning, after breakfast)",Long-term,Limit fluids before bedtime; avoid antihistamines/decongestants; bladder training exercises
95,Other Common Conditions,Overactive Bladder,"Urgency, urge urinary incontinence, frequency >8x/day, nocturia",Solifenacin 5mg OR Tolterodine 4mg (extended release),1x/day,8:00 AM (Morning),8–12 weeks then review,"Bladder training, pelvic floor exercises, fluid management (not restriction), reduce caffeine"
96,Other Common Conditions,Erectile Dysfunction,Inability to achieve/maintain erection sufficient for sexual intercourse,Sildenafil 50mg OR Tadalafil 10mg (or 5mg daily),PRN (1–4 hrs before) / Daily (Tadalafil 5mg),As needed (PRN) — typically Morning or Night when symptoms occur,PRN / Long-term,Treat cardiovascular risk factors; psychosexual therapy; avoid with nitrates (hypotension risk)
97,Other Common Conditions,Iron Deficiency Anemia,"Fatigue, pallor, exertional dyspnea, koilonychia (spoon nails), pica",Ferrous sulfate 200mg (65mg elemental iron),2–3x/day (with Vitamin C),8:00 AM (Morning) & 9:00 PM (Night),3–6 months (until stores replenished),Take on empty stomach or with Vitamin C for better absorption; avoid tea/coffee within 1hr; treat cause
98,Other Common Conditions,Vitamin D Deficiency,"Bone pain, muscle weakness, fatigue, depression, recurrent infections",Cholecalciferol (Vitamin D3) 1000–4000 IU/day OR weekly high-dose,1x/day (daily) OR 1x/week (high dose),8:00 AM (Morning),8–12 weeks loading then maintenance,"Sun exposure 15–30 min daily; dietary sources (oily fish, eggs); adequate calcium co-supplementation"
99,Other Common Conditions,Seasonal Allergies,"Sneezing, runny/itchy nose, watery/red eyes, congestion, post-nasal drip (seasonal pattern)",Cetirizine 10mg OR Fexofenadine 120mg + Fluticasone nasal spray 50mcg,1x/day + 2 sprays/nostril 1x/day,8:00 AM (Morning),During allergy season (4–8 weeks),"Monitor pollen count, keep windows closed during high pollen; shower after outdoor activities; sunglasses"
100,Other Common Conditions,Motion Sickness,"Nausea, vomiting, dizziness, pallor, cold sweats triggered by motion/travel",Hyoscine (Scopolamine) 0.3mg OR Promethazine 25mg OR Cinnarizine 25mg,1x/day (Hyoscine 30–60 min before travel),8:00 AM (Morning),PRN during travel,Sit in front seat/boat center; focus on horizon; avoid reading; fresh air; ginger (natural option)
101,Blood & Hematological Disorders,Sickle Cell Disease,"Vaso-occlusive pain crises, hemolytic anemia, dactylitis, acute chest syndrome, stroke risk, splenomegaly",Hydroxyurea 15–35mg/kg/day + Folic acid 5mg,1x/day each,8:00 AM (Morning),Lifelong,"Hydration (3L/day), avoid cold/hypoxia, annual transcranial Doppler, penicillin prophylaxis in children"
102,Blood & Hematological Disorders,Thalassemia,"Severe anemia (major), pallor, splenomegaly, skeletal deformities, growth retardation, jaundice",Deferoxamine (iron chelation) 20–40mg/kg SC OR Deferasirox 20mg/kg oral + Folic acid,8–10 hrs infusion nightly / 1x/day (Deferasirox),9:00 PM (Night) (nightly),Lifelong,Regular blood transfusions (major); monitor ferritin/iron; genetic counseling for family
103,Blood & Hematological Disorders,Aplastic Anemia,"Fatigue, pallor, petechiae, easy bruising, recurrent infections, bleeding gums",Cyclosporine 5mg/kg/day + Anti-thymocyte globulin (ATG) IV (hospital) + Eltrombopag 150mg,2x/day (Cyclosporine) / 1x/day (Eltrombopag),8:00 AM (Morning) & 9:00 PM (Night),6+ months,Avoid NSAIDs/aspirin; infection prevention; BMT if severe & young; growth factor support
104,Blood & Hematological Disorders,Hemophilia A,"Prolonged bleeding after injury, spontaneous hemarthroses, deep muscle hematomas, intracranial bleed risk",Factor VIII concentrate (recombinant) 20–50 IU/kg,On demand (bleeding) OR 3x/week (prophylaxis),As needed (PRN) — typically Morning or Night when symptoms occur,Lifelong,AVOID aspirin/NSAIDs; wear medical alert bracelet; physiotherapy for joint disease; inhibitor screening
105,Blood & Hematological Disorders,Hemophilia B,"Similar to Hemophilia A: prolonged bleeding, hemarthroses, muscle hematomas",Factor IX concentrate 25–50 IU/kg (on demand) OR Emicizumab SC (if inhibitors),2–3x/week prophylaxis,"8:00 AM (Morning) (on prophylaxis days, 2–3x weekly)",Lifelong,Same precautions as Hemophilia A; emicizumab is SC once weekly/fortnightly alternative
106,Blood & Hematological Disorders,Polycythemia Vera,"Plethoric facies, pruritus after bathing, headache, dizziness, thrombosis risk, splenomegaly",Hydroxyurea 500–1000mg + Aspirin 75mg + Phlebotomy (target Hct <45%),1–2x/day (Hydroxyurea) / 1x/day (Aspirin),8:00 AM (Morning),Lifelong,Monitor CBC regularly; adequate hydration; avoid iron supplements; JAK inhibitor (Ruxolitinib) if refractory
107,Blood & Hematological Disorders,Essential Thrombocythemia,"Headache, visual changes, tingling, thrombosis (arterial/venous), bleeding, splenomegaly",Hydroxyurea 500mg + Aspirin 75mg (low-risk may need only aspirin),2x/day (Hydroxyurea) / 1x/day (Aspirin),8:00 AM (Morning) & 9:00 PM (Night),Lifelong,Monitor platelet count; cardiovascular risk factor control; avoid pregnancy on Hydroxyurea
108,Blood & Hematological Disorders,ITP,"Petechiae, easy bruising, mucosal bleeding, menorrhagia; thrombocytopenia on CBC",Prednisolone 1mg/kg/day (first-line) OR IVIG 1g/kg (acute/severe),1x/day (Prednisolone) / Single course IV (IVIG),8:00 AM (Morning),4–6 weeks (then taper) / 2 days,Avoid NSAIDs; fall/trauma precautions; monitor platelet count; rituximab/splenectomy if chronic refractory
109,Blood & Hematological Disorders,Pernicious Anemia,"Megaloblastic anemia, glossitis, subacute combined degeneration of cord, fatigue, paresthesia",Hydroxocobalamin 1mg IM (loading) then maintenance + Folic acid 5mg,Loading: alternate days x6 / Maintenance: every 3 months (IM),8:00 AM (Morning) (on scheduled dosing day),Lifelong,Vegan diet supplementation; monitor neurological status; gastric cancer risk – endoscopy screening
110,Blood & Hematological Disorders,Hemolytic Anemia,"Jaundice, pallor, dark urine (hemoglobinuria), splenomegaly, fatigue, gallstones",Prednisolone 1–2mg/kg/day (autoimmune) + Folic acid 5mg,1x/day each,8:00 AM (Morning),"Varies (4–6 weeks prednisolone, lifelong folate)",Identify and treat underlying cause; avoid triggers (G6PD: oxidant drugs); Rituximab if refractory
111,Kidney & Urinary Disorders,Chronic Kidney Disease,"Fatigue, edema, hypertension, nausea, pallor, oliguria, pruritus in advanced stages",Ramipril 5–10mg + Furosemide 40mg + Sevelamer 800mg (phosphate binder) + Erythropoietin (if anemic),1x/day / 1–2x/day / 3x/day with meals,8:00 AM (Morning),Lifelong,"Protein restriction (0.8g/kg/day), low potassium/phosphate diet, fluid restriction, BP <130/80, smoking cessation"
112,Kidney & Urinary Disorders,Acute Kidney Injury,"Oliguria/anuria, fluid retention, elevated creatinine/BUN, electrolyte disturbances, encephalopathy",IV Fluids (crystalloid) + Furosemide 40–80mg IV (if fluid overload) + treat underlying cause,Continuous IV / As needed,As needed (PRN) — typically Morning or Night when symptoms occur,Hospital-based (days to weeks),"Monitor urine output hourly; strict I/O chart; avoid nephrotoxins (NSAIDs, contrast, aminoglycosides)"
113,Kidney & Urinary Disorders,Nephrotic Syndrome,"Severe proteinuria, pitting edema, hypoalbuminemia, hyperlipidemia, frothy urine",Prednisolone 60mg/m² (or 1mg/kg) + Furosemide 40mg + Atorvastatin 20mg,1x/day / 1–2x/day / 1x/day,8:00 AM (Morning),8–16 weeks (Prednisolone taper) / Long-term others,Low-salt low-fat diet; albumin IV if severe; anticoagulation if albumin <20g/L; infection vigilance
114,Kidney & Urinary Disorders,Nephritic Syndrome,"Hematuria (cola-colored urine), hypertension, oliguria, proteinuria, edema",Furosemide 40mg + Prednisolone (if immune-mediated) + Amlodipine 5mg (BP control),1–2x/day / 1x/day,8:00 AM (Morning),Short-term (diuretic) / 4–8 weeks (steroid),"Identify cause (post-streptococcal, IgA, ANCA); renal biopsy may be needed; restrict salt/fluid"
115,Kidney & Urinary Disorders,Kidney Stones,"Severe colicky flank/groin pain (loin to groin), hematuria, nausea, vomiting, dysuria",Diclofenac 75mg OR Ketorolac 30mg (analgesia) + Tamsulosin 0.4mg (alpha-blocker for passage),2x/day (Diclofenac) / 1x/day (Tamsulosin),8:00 AM (Morning) & 9:00 PM (Night),3–7 (analgesic) / 4 weeks (Tamsulosin),High fluid intake (>2.5L/day); dietary oxalate restriction (calcium oxalate stones); citrate supplements
116,Kidney & Urinary Disorders,Urinary Tract Infection,"Dysuria, frequency, urgency, suprapubic pain, cloudy/foul-smelling urine; no fever (uncomplicated)",Nitrofurantoin 100mg (modified release) OR Trimethoprim 200mg,2x/day / 2x/day,8:00 AM (Morning) & 9:00 PM (Night),3–5 (women) / 7 (men),Increase fluid intake; post-coital voiding; wipe front to back; avoid spermicides; cranberry as adjunct
117,Kidney & Urinary Disorders,Pyelonephritis,"Fever, rigors, flank pain, costovertebral angle tenderness, dysuria, nausea/vomiting","Ciprofloxacin 500mg OR Co-amoxiclav 625mg (oral, outpatient) / Ceftriaxone 1g IV (inpatient)",2x/day (Cipro) / 3x/day (Co-amox),8:00 AM (Morning) & 9:00 PM (Night),10–14,High fluid intake; urine culture-guided therapy; imaging if no improvement in 48–72 hrs
118,Kidney & Urinary Disorders,Interstitial Cystitis,"Chronic pelvic pain, urinary urgency/frequency, dyspareunia, no proven infection",Amitriptyline 25–75mg (at night) + Pentosan polysulfate 100mg,1x/day (night) / 3x/day,8:00 AM (Morning),3–6 months,"Bladder training; avoid trigger foods (caffeine, acidic foods, alcohol); stress management; pelvic floor physio"
119,Kidney & Urinary Disorders,Stress Urinary Incontinence,"Urine leakage with coughing, sneezing, laughing, exercise; no urgency",Duloxetine 40mg (pharmacological) — first-line is pelvic floor exercises,2x/day (if medication used),8:00 AM (Morning) & 9:00 PM (Night),3 months (then reassess),Pelvic floor (Kegel) exercises (gold standard – 3 sets x 10 daily); weight loss; caffeine reduction; bladder diary
120,Kidney & Urinary Disorders,Hyperkalemia,"Muscle weakness, palpitations, peaked T-waves on ECG, nausea; cardiac arrest if severe",Calcium gluconate 10% IV (cardiac protection) + Insulin + Dextrose (shift K⁺) + Sodium zirconium cyclosilicate 10g,Stat IV / Stat IV / 3x/day (oral binder),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night) (primary medicine); see notes for others",Acute: hospital hours / Maintenance: varies,STOP ACE inhibitors/ARBs/potassium-sparing diuretics; low-potassium diet; avoid NSAIDs; dialysis if severe
121,Liver & Gallbladder Diseases,Fatty Liver Disease,"Often asymptomatic; RUQ discomfort, fatigue, hepatomegaly; elevated ALT/AST",No specific drug approved — Vitamin E 800IU (non-diabetic NASH) + Lifestyle modification,1x/day,8:00 AM (Morning),Long-term,"Weight loss (>5–10%), exercise 150 min/week, avoid alcohol, control diabetes/lipids"
122,Liver & Gallbladder Diseases,NASH,"Fatigue, RUQ pain, hepatomegaly; elevated LFTs; can progress to cirrhosis","Vitamin E 800IU + Pioglitazone 30mg (if T2DM) + Semaglutide (off-label, emerging)",1x/day each,8:00 AM (Morning),Long-term,Same as fatty liver; biopsy-confirmed staging guides therapy; statin safe for lipids
123,Liver & Gallbladder Diseases,Cirrhosis,"Jaundice, ascites, spider nevi, palmar erythema, caput medusae, hepatic encephalopathy, variceal bleeding",Spironolactone 100mg + Furosemide 40mg (ascites) + Propranolol 40mg (varices prophylaxis) + Lactulose 15ml (encephalopathy),1x/day / 1x/day / 2x/day / 2–3x/day,8:00 AM (Morning),Lifelong,Absolute alcohol abstinence; low-sodium diet (<2g/day); monitor for HCC (US every 6 months); vaccination (Hep A/B)
124,Liver & Gallbladder Diseases,Autoimmune Hepatitis,"Fatigue, jaundice, arthralgia, elevated transaminases, elevated IgG, positive ANA/ASMA",Prednisolone 40mg (induction) + Azathioprine 50mg (maintenance/steroid-sparing),1x/day each,8:00 AM (Morning),Lifelong (most cases),Monitor LFTs and CBC; avoid alcohol; screen for osteoporosis (long-term steroid); check TPMT before Azathioprine
125,Liver & Gallbladder Diseases,Primary Biliary Cholangitis,"Pruritus, fatigue, jaundice (late), xanthelasma, osteoporosis; positive AMA",Ursodeoxycholic acid (UDCA) 13–15mg/kg/day + Obeticholic acid 5mg (if inadequate UDCA response),1–2x/day (UDCA) / 1x/day (OCA),8:00 AM (Morning),Lifelong,"Fat-soluble vitamin supplementation (A,D,E,K); cholestyramine for pruritus; bone density monitoring"
126,Liver & Gallbladder Diseases,Primary Sclerosing Cholangitis,"Fatigue, pruritus, jaundice, RUQ pain, recurrent cholangitis, associated IBD",No proven disease-modifying drug; UDCA 15–20mg/kg (controversial) + Ciprofloxacin (cholangitis episodes),1–2x/day (UDCA) / 2x/day (Cipro during episodes),8:00 AM (Morning),Lifelong / 7–10 (Cipro),Annual colonoscopy (IBD/CRC risk); MRCP surveillance; liver transplant evaluation; cholangiocarcinoma screening
127,Liver & Gallbladder Diseases,Gallstones,"Often asymptomatic; biliary colic (RUQ pain after fatty meals), nausea, vomiting",Ursodeoxycholic acid 8–10mg/kg (for small cholesterol stones – dissolution) + Diclofenac 75mg (analgesia for colic),2x/day (UDCA) / 2x/day (PRN pain),8:00 AM (Morning) & 9:00 PM (Night),6–24 months (dissolution) / PRN,Low-fat diet; surgical cholecystectomy preferred for symptomatic stones; avoid rapid weight loss
128,Liver & Gallbladder Diseases,Cholecystitis,"Severe RUQ pain, fever, positive Murphy's sign, nausea, jaundice if obstructed",Co-amoxiclav 625mg OR Ciprofloxacin 500mg + Metronidazole 500mg (antibiotics),3x/day / 2x/day + 3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",7–10 (antibiotics pre-op),NPO initially; IV fluids; cholecystectomy (definitive); avoid fatty foods; analgesia with diclofenac
129,Liver & Gallbladder Diseases,Hepatic Encephalopathy,"Confusion, asterixis (flapping tremor), altered consciousness, fetor hepaticus, hyperammonemia",Lactulose 30–60ml (titrate to 2–3 soft stools/day) + Rifaximin 550mg,2–4x/day (Lactulose) / 2x/day (Rifaximin),8:00 AM (Morning) & 9:00 PM (Night),Acute: days / Rifaximin: Long-term,"Identify precipitants (infection, GI bleed, constipation, diuretics); protein-adequate diet; monitor ammonia"
130,Liver & Gallbladder Diseases,Wilson Disease,"Liver disease (hepatitis/cirrhosis), Kayser-Fleischer rings, neuropsychiatric symptoms, hemolytic anemia",D-Penicillamine 250–500mg (initial chelation) OR Trientine 300–400mg (if intolerant) + Zinc acetate 50mg (maintenance),4x/day (D-Penicillamine) / 2–3x/day (Trientine) / 3x/day (Zinc),"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",Lifelong,"Low copper diet (avoid shellfish, liver, chocolate, nuts); monitor 24hr urine copper; eye exams; pyridoxine with D-Penicillamine"
131,Eye Disorders,Cataract (pre-surgical),"Blurred/cloudy vision, glare/halos around lights, faded colors, frequent prescription changes",Artificial tears (lubricant drops) — no medication reverses cataracts; surgical extraction is definitive,4–6x/day (lubricants PRN),"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",Until surgery,"Strong reading glasses, anti-glare lenses, adequate lighting; avoid driving at night; plan surgical referral"
132,Eye Disorders,Conjunctivitis,"Red eye, discharge (watery-viral / purulent-bacterial), itching, foreign body sensation, crusting",Chloramphenicol 0.5% drops (bacterial) OR Olopatadine 0.1% (allergic) / Viral: supportive only,4x/day (bacterial) / 2x/day (allergic),"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",7 (bacterial) / 2 weeks (allergic),Hand hygiene (highly contagious); avoid contact lenses; do not share towels/pillowcases
133,Eye Disorders,Dry Eye Syndrome,"Gritty/burning sensation, intermittent blurry vision, light sensitivity, excessive tearing (reflex)","Carboxymethylcellulose 0.5% drops (artificial tears) + Cyclosporine 0.05% drops (Restasis, chronic)",4–6x/day (drops) / 2x/day (Cyclosporine),"8:00 AM (Morning), 1:00 PM (Afternoon), 6:00 PM (Evening) & 10:00 PM (Night, before bed)",Long-term,"Screen breaks (20-20-20 rule), humidifier, omega-3 supplements, avoid smoky environments"
134,Eye Disorders,Uveitis,"Red painful eye, photophobia, blurred vision, floaters; ciliary flush; hypopyon in severe cases",Prednisolone acetate 1% eye drops + Cyclopentolate 1% (mydriatic to prevent synechiae),Hourly (acute) tapering / 3x/day,Every hour as directed (acute phase) — then taper,4–6 weeks (taper),"Urgent ophthalmic referral; systemic workup for underlying cause (HLA-B27, TB, sarcoid, syphilis)"
135,Eye Disorders,Keratitis,"Severe eye pain, photophobia, lacrimation, reduced vision, corneal opacity/infiltrate",Ofloxacin 0.3% drops (bacterial) OR Natamycin 5% (fungal) OR Acyclovir eye ointment (HSV),Hourly initially then taper (bacterial) / 6x/day,Every hour as directed (acute phase) — then taper,14–21 (bacterial) / 21–42 (fungal),Ophthalmologic emergency; stop contact lens use; avoid steroid drops until cause confirmed
136,Eye Disorders,Blepharitis,"Lid margin redness/crusting, gritty eyes, morning lid sticking, recurrent styes, loss of eyelashes",Lid hygiene (warm compress + lid scrubs) + Chloramphenicol ointment 1% (if bacterial) + Artificial tears,2x/day (hygiene routine),8:00 AM (Morning) & 9:00 PM (Night),Long-term (hygiene lifelong),Warm compresses 5–10 min daily followed by lid massage and lid scrubs; omega-3 supplements help
137,Eye Disorders,Diabetic Retinopathy,"Blurred vision, floaters, dark spots, visual field loss (late); often asymptomatic early",Ranibizumab/Bevacizumab intravitreal injections (DME/PDR) + strict glycemic control,Monthly injections (loading) then PRN,8:00 AM (Morning) (monthly dose),Long-term,"Strict HbA1c <7%, BP <130/80; annual dilated fundoscopy; laser photocoagulation; stop smoking"
138,Eye Disorders,Macular Degeneration,"Central vision loss, metamorphopsia (distorted vision), scotoma, difficulty reading",Ranibizumab 0.5mg OR Aflibercept 2mg intravitreal injections (wet AMD); Supplements: AREDS2 (dry AMD),Monthly injections (wet) / Daily supplements (dry),8:00 AM (Morning) (monthly dose),Long-term,Amsler grid self-monitoring; smoking cessation (major risk factor); sunglasses with UV protection; low vision aids
139,Eye Disorders,Ocular Hypertension,Elevated IOP (>21 mmHg) without optic nerve damage or visual field loss; often asymptomatic,Latanoprost 0.005% drops (first-line prostaglandin analogue),1x/day (evening),6:00 PM (Evening),Long-term,Regular IOP monitoring (every 6 months); visual field testing annually; compliance is critical
140,Eye Disorders,Retinal Vein Occlusion,Sudden painless visual loss/blurring (central) or sector visual field loss (branch); flame hemorrhages on fundus,Ranibizumab/Bevacizumab intravitreal injections (macular edema) + treat systemic risk factors,Monthly loading injections then PRN,8:00 AM (Morning) (monthly dose),Long-term (injections) / Lifelong (systemic risk factor treatment),"Control BP, diabetes, hyperlipidemia; aspirin 75mg; screen for thrombophilia; no proven acute treatment"
141,"Ear, Nose & Throat Disorders",Otitis Media,"Ear pain, fever, hearing loss, irritability (children), otorrhea if perforated",Amoxicillin 500mg (if bacterial) / Watchful waiting first 48–72hrs in mild cases + Paracetamol,3x/day / PRN analgesia,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7 (antibiotic if needed),Analgesia first; avoid water entry; decongestants not recommended in children; referral if recurrent (>3/6 months)
142,"Ear, Nose & Throat Disorders",Otitis Externa,"Severe ear pain (worse on pinna traction), itching, discharge, conductive hearing loss",Acetic acid 2% spray OR Sofradex drops (dexamethasone + framycetin + gramicidin),3–4x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",7–10,Keep ear dry (cotton wool with Vaseline when showering); avoid cotton buds; ear wick if canal swollen
143,"Ear, Nose & Throat Disorders",Ménière's Disease,"Episodic vertigo (minutes to hours), unilateral sensorineural hearing loss, tinnitus, aural fullness",Betahistine 16mg (prophylaxis) + Prochlorperazine 5mg (acute attack),3x/day (Betahistine) / 3x/day PRN (Prochlorperazine),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Betahistine: long-term / Prochlorperazine: short-term PRN,Low-salt diet (<1.5g/day); avoid caffeine/alcohol; vestibular rehab; fall safety during attacks
144,"Ear, Nose & Throat Disorders",Tinnitus,"Persistent ringing/buzzing/hissing in ears; may cause sleep disturbance, anxiety, concentration issues",No curative drug; Betahistine 8–16mg (trial) + Melatonin 2mg (sleep) + Cognitive support,3x/day (Betahistine) / 1x/day at night (Melatonin),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",Trial 3 months (Betahistine),Sound therapy (white noise); TRT (Tinnitus Retraining Therapy); hearing aids if hearing loss; avoid loud noise
145,"Ear, Nose & Throat Disorders",Laryngitis,"Hoarseness, aphonia, dry cough, sore/scratchy throat, odynophagia; low-grade fever (infective)",Supportive: Paracetamol 500mg + steam inhalation; Omeprazole if LPR related,3–4x/day (Paracetamol),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",7–10,"Voice rest (do not whisper); stay hydrated; avoid irritants (smoking, alcohol); humidified air; ENT if >3 weeks"
146,"Ear, Nose & Throat Disorders",Tonsillitis,"Sore throat, dysphagia, swollen tonsils with exudate, fever, cervical lymphadenopathy",Amoxicillin 500mg (bacterial/Group A Strep) OR Clarithromycin (if penicillin allergic) + Paracetamol,3x/day / 2x/day / PRN,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",10 (antibiotic) / PRN (Paracetamol),AVOID Ampicillin/Amoxicillin if mononucleosis suspected (causes rash); tonsillectomy if recurrent (≥7/yr)
147,"Ear, Nose & Throat Disorders",Pharyngitis,"Sore throat, odynophagia, fever, pharyngeal erythema; mostly viral",Paracetamol 500mg + Benzydamine spray (topical analgesic) / Amoxicillin if Centor score ≥3,3–4x/day / 3x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7 (antibiotic only if bacterial),Gargle warm salt water; adequate hydration; throat swab to guide antibiotic use (avoid overuse)
148,"Ear, Nose & Throat Disorders",Nasal Polyps,"Bilateral nasal obstruction, anosmia, rhinorrhea, post-nasal drip; associated with asthma/aspirin sensitivity",Mometasone furoate nasal spray 200mcg/day + Dupilumab 300mg SC (if biologic eligible),2 sprays/nostril 1x/day / Biweekly injection,8:00 AM (Morning) (once weekly),Long-term (spray) / 16+ weeks (Dupilumab),Avoid aspirin/NSAIDs (if NSAID-exacerbated respiratory disease); saline irrigation; surgical polypectomy if unresponsive
149,"Ear, Nose & Throat Disorders",Epiglottitis,"Medical emergency: rapid onset high fever, stridor, drooling, dysphagia, 'tripod' posture, muffled voice",Ceftriaxone 2g IV + Dexamethasone 0.1–0.6mg/kg IV (airway protection),1–2x/day IV,8:00 AM (Morning),7–10 (IV antibiotics in ICU),DO NOT examine throat without airway support; secure airway first; Hib vaccine prevention
150,"Ear, Nose & Throat Disorders",Vestibular Neuritis,"Sudden severe vertigo, nausea/vomiting, gait instability; no hearing loss; follows viral URTI","Prochlorperazine 5mg (acute vestibular sedative) + Prednisolone 50mg (early, if within 72hrs)",3x/day (Prochlorperazine short-term) / 1x/day (Prednisolone tapering),"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",3–5 days (vestibular sedative); 3 weeks (Prednisolone taper),Vestibular rehabilitation exercises (Cawthorne-Cooksey); early mobilization; fall precautions; avoid driving during acute phase
151,Skin Disorders,Rosacea,"Facial flushing, persistent erythema, papulopustules, telangiectasia, rhinophyma (late); triggered by sun/heat/alcohol",Metronidazole 0.75% gel + Azelaic acid 15% gel (topical) / Doxycycline 40mg (papulopustular),2x/day (topical) / 1x/day (Doxycycline),8:00 AM (Morning) & 9:00 PM (Night),8–12 weeks,"Sun protection (SPF50+ daily); avoid triggers (heat, alcohol, spicy food); gentle skincare; laser for erythema/telangiectasia"
152,Skin Disorders,Seborrheic Dermatitis,"Greasy yellowish scales on scalp/face/nasolabial folds, itching, erythema, dandruff","Ketoconazole 2% shampoo/cream + Hydrocortisone 1% cream (face, short-term)",2–3x/week (shampoo) / 2x/day (cream),8:00 AM (Morning) & 9:00 PM (Night) (primary medicine); see notes for others,4 weeks (then maintenance),Maintenance use 1–2x/month to prevent recurrence; avoid harsh soaps; stress management
153,Skin Disorders,Vitiligo,"Depigmented white patches (hands, face, genitalia, bony prominences); cosmetically distressing; no systemic symptoms",Tacrolimus 0.1% ointment (face/folds) OR Clobetasol 0.05% cream (body) + Ruxolitinib 1.5% cream (newer topical JAK-i),2x/day,8:00 AM (Morning) & 9:00 PM (Night),3–6 months (assess response),Strict sun protection of depigmented areas (burn easily); cosmetic camouflage; NB-UVB phototherapy; psychological support
154,Skin Disorders,Hidradenitis Suppurativa,"Recurrent painful nodules/abscesses in axillae/groin/inframammary areas, sinus tracts, scarring","Clindamycin 1% lotion (topical, mild) + Doxycycline 100mg (oral, moderate) / Adalimumab 40mg (severe, biologic)",2x/day (topical) / 2x/day (Doxy) / Biweekly SC (Adalimumab),8:00 AM (Morning) & 9:00 PM (Night),Long-term,Weight loss; stop smoking (significant trigger); warm compresses; antiseptic washes; surgical drainage if abscess
